sample_name,sensitivity,specificity,f1
FAVITES_output_logSI_contemp_T200_N100_E1_343,0.211,0.222,0.216
FAVITES_output_logSI_contemp_T200_N100_E1_344,0.119,0.122,0.120
FAVITES_output_logSI_contemp_T200_N100_E1_345,0.175,0.189,0.182
FAVITES_output_logSI_contemp_T200_N100_E1_346,0.333,0.333,0.333
FAVITES_output_logSI_contemp_T200_N100_E1_347,0.250,0.250,0.250
FAVITES_output_logSI_contemp_T200_N100_E1_348,0.333,0.400,0.364
FAVITES_output_logSI_contemp_T200_N100_E1_349,0.400,0.667,0.500
FAVITES_output_logSI_contemp_T200_N100_E1_350,0.250,0.286,0.267
FAVITES_output_logSI_contemp_T200_N100_E1_351,0.000,0.000,0.000
FAVITES_output_logSI_contemp_T200_N100_E1_352,0.600,0.600,0.600
FAVITES_output_logSI_contemp_T200_N100_E1_353,0.000,0.000,0.000
FAVITES_output_logSI_contemp_T200_N100_E1_354,0.200,0.333,0.250
FAVITES_output_logSI_contemp_T200_N100_E1_355,0.270,0.286,0.278
FAVITES_output_logSI_contemp_T200_N100_E1_356,0.500,1.000,0.667
FAVITES_output_logSI_contemp_T200_N100_E1_358,0.194,0.231,0.211
FAVITES_output_logSI_contemp_T200_N100_E1_359,0.115,0.120,0.118
FAVITES_output_logSI_contemp_T200_N100_E1_360,0.323,0.345,0.333
FAVITES_output_logSI_contemp_T200_N100_E1_361,0.167,0.250,0.200
FAVITES_output_logSI_contemp_T200_N100_E1_362,0.122,0.143,0.132
FAVITES_output_logSI_contemp_T200_N100_E1_363,0.000,0.000,0.000
FAVITES_output_logSI_contemp_T200_N100_E1_364,0.214,0.250,0.231
FAVITES_output_logSI_contemp_T200_N100_E1_365,0.250,0.333,0.286
FAVITES_output_logSI_contemp_T200_N100_E1_366,0.200,0.200,0.200
FAVITES_output_logSI_contemp_T200_N100_E1_367,0.000,0.000,0.000
FAVITES_output_logSI_contemp_T200_N100_E1_368,0.429,0.462,0.444
FAVITES_output_logSI_contemp_T200_N100_E1_369,0.438,0.500,0.467
FAVITES_output_logSI_contemp_T200_N100_E1_370,0.333,0.375,0.353
FAVITES_output_logSI_contemp_T200_N100_E1_371,0.105,0.133,0.118
FAVITES_output_logSI_contemp_T200_N100_E1_372,0.246,0.255,0.250
FAVITES_output_logSI_contemp_T200_N100_E1_373,0.188,0.207,0.197
FAVITES_output_logSI_contemp_T200_N100_E1_374,0.154,0.171,0.162
FAVITES_output_logSI_contemp_T200_N100_E1_375,0.222,0.250,0.235
FAVITES_output_logSI_contemp_T200_N100_E1_376,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_377,0.667,1.000,0.800
FAVITES_output_logSI_contemp_T200_N100_E1_378,0.273,0.353,0.308
FAVITES_output_logSI_contemp_T200_N100_E1_379,0.242,0.296,0.267
FAVITES_output_logSI_contemp_T200_N100_E1_380,0.324,0.343,0.333
FAVITES_output_logSI_contemp_T200_N100_E1_381,0.667,0.667,0.667
FAVITES_output_logSI_contemp_T200_N100_E1_382,0.059,0.067,0.062
FAVITES_output_logSI_contemp_T200_N100_E1_383,0.000,0.000,0.000
FAVITES_output_logSI_contemp_T200_N100_E1_384,0.500,0.667,0.571
