sample_name,sensitivity,specificity,f1
FAVITES_output_logSI_contemp_T200_N100_E1_390,0.250,0.250,0.250
FAVITES_output_logSI_contemp_T200_N100_E1_393,0.111,0.111,0.111
FAVITES_output_logSI_contemp_T200_N100_E1_394,0.571,0.571,0.571
FAVITES_output_logSI_contemp_T200_N100_E1_395,0.333,0.333,0.333
FAVITES_output_logSI_contemp_T200_N100_E1_396,0.111,0.111,0.111
FAVITES_output_logSI_contemp_T200_N100_E1_398,0.321,0.321,0.321
FAVITES_output_logSI_contemp_T200_N100_E1_399,0.364,0.364,0.364
FAVITES_output_logSI_contemp_T200_N100_E1_405,0.636,0.636,0.636
FAVITES_output_logSI_contemp_T200_N100_E1_410,0.333,0.333,0.333
FAVITES_output_logSI_contemp_T200_N100_E1_411,0.286,0.286,0.286
FAVITES_output_logSI_contemp_T200_N100_E1_412,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_416,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_417,0.000,0.000,0.000
FAVITES_output_logSI_contemp_T200_N100_E1_418,0.444,0.444,0.444
FAVITES_output_logSI_contemp_T200_N100_E1_419,0.000,0.000,0.000
FAVITES_output_logSI_contemp_T200_N100_E1_420,0.667,0.667,0.667
FAVITES_output_logSI_contemp_T200_N100_E1_421,0.375,0.375,0.375
FAVITES_output_logSI_contemp_T200_N100_E1_423,0.222,0.222,0.222
FAVITES_output_logSI_contemp_T200_N100_E1_424,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_425,0.444,0.444,0.444
FAVITES_output_logSI_contemp_T200_N100_E1_426,0.421,0.421,0.421
FAVITES_output_logSI_contemp_T200_N100_E1_428,0.357,0.357,0.357
FAVITES_output_logSI_contemp_T200_N100_E1_430,0.286,0.286,0.286
FAVITES_output_logSI_contemp_T200_N100_E1_432,0.500,0.500,0.500
FAVITES_output_logSI_contemp_T200_N100_E1_437,0.000,0.000,0.000
FAVITES_output_logSI_contemp_T200_N100_E1_438,0.400,0.400,0.400
FAVITES_output_logSI_contemp_T200_N100_E1_440,0.444,0.444,0.444
FAVITES_output_logSI_contemp_T200_N100_E1_441,0.385,0.385,0.385
FAVITES_output_logSI_contemp_T200_N100_E1_442,0.000,0.000,0.000
FAVITES_output_logSI_contemp_T200_N100_E1_443,0.211,0.211,0.211
FAVITES_output_logSI_contemp_T200_N100_E1_444,0.286,0.286,0.286
FAVITES_output_logSI_contemp_T200_N100_E1_445,0.350,0.350,0.350
FAVITES_output_logSI_contemp_T200_N100_E1_446,0.167,0.167,0.167
FAVITES_output_logSI_contemp_T200_N100_E1_447,0.000,0.000,0.000
FAVITES_output_logSI_contemp_T200_N100_E1_450,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_451,0.091,0.091,0.091
FAVITES_output_logSI_contemp_T200_N100_E1_453,0.350,0.350,0.350
FAVITES_output_logSI_contemp_T200_N100_E1_455,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_458,0.360,0.360,0.360
FAVITES_output_logSI_contemp_T200_N100_E1_459,0.345,0.345,0.345
FAVITES_output_logSI_contemp_T200_N100_E1_460,0.400,0.400,0.400
FAVITES_output_logSI_contemp_T200_N100_E1_462,0.273,0.273,0.273
