sample_name,sensitivity,specificity,f1
FAVITES_output_logSI_contemp_T200_N100_E1_329,0.600,0.273,0.375
FAVITES_output_logSI_contemp_T200_N100_E1_330,0.633,0.079,0.140
FAVITES_output_logSI_contemp_T200_N100_E1_331,0.889,0.104,0.186
FAVITES_output_logSI_contemp_T200_N100_E1_332,0.828,0.118,0.207
FAVITES_output_logSI_contemp_T200_N100_E1_333,0.737,0.090,0.160
FAVITES_output_logSI_contemp_T200_N100_E1_334,0.875,0.241,0.378
FAVITES_output_logSI_contemp_T200_N100_E1_335,0.867,0.160,0.271
FAVITES_output_logSI_contemp_T200_N100_E1_336,0.800,0.267,0.400
FAVITES_output_logSI_contemp_T200_N100_E1_337,0.720,0.033,0.063
FAVITES_output_logSI_contemp_T200_N100_E1_338,0.000,0.000,0.000
FAVITES_output_logSI_contemp_T200_N100_E1_339,0.750,0.087,0.155
FAVITES_output_logSI_contemp_T200_N100_E1_340,0.923,0.039,0.075
FAVITES_output_logSI_contemp_T200_N100_E1_341,0.792,0.075,0.136
FAVITES_output_logSI_contemp_T200_N100_E1_342,0.000,0.000,0.000
FAVITES_output_logSI_contemp_T200_N100_E1_343,0.684,0.076,0.136
FAVITES_output_logSI_contemp_T200_N100_E1_344,0.643,0.031,0.060
FAVITES_output_logSI_contemp_T200_N100_E1_345,0.850,0.048,0.091
FAVITES_output_logSI_contemp_T200_N100_E1_346,0.667,0.333,0.444
FAVITES_output_logSI_contemp_T200_N100_E1_347,0.750,0.300,0.429
FAVITES_output_logSI_contemp_T200_N100_E1_348,0.833,0.312,0.455
FAVITES_output_logSI_contemp_T200_N100_E1_349,0.600,0.375,0.462
FAVITES_output_logSI_contemp_T200_N100_E1_350,0.500,0.138,0.216
FAVITES_output_logSI_contemp_T200_N100_E1_351,0.000,0.000,0.000
FAVITES_output_logSI_contemp_T200_N100_E1_352,0.400,0.133,0.200
FAVITES_output_logSI_contemp_T200_N100_E1_353,0.500,0.333,0.400
FAVITES_output_logSI_contemp_T200_N100_E1_354,0.600,0.273,0.375
FAVITES_output_logSI_contemp_T200_N100_E1_355,0.919,0.054,0.102
FAVITES_output_logSI_contemp_T200_N100_E1_356,0.500,0.500,0.500
FAVITES_output_logSI_contemp_T200_N100_E1_358,0.839,0.078,0.143
FAVITES_output_logSI_contemp_T200_N100_E1_359,0.962,0.077,0.142
FAVITES_output_logSI_contemp_T200_N100_E1_360,0.774,0.055,0.103
FAVITES_output_logSI_contemp_T200_N100_E1_361,0.500,0.250,0.333
FAVITES_output_logSI_contemp_T200_N100_E1_362,0.837,0.045,0.085
FAVITES_output_logSI_contemp_T200_N100_E1_363,0.800,0.267,0.400
FAVITES_output_logSI_contemp_T200_N100_E1_364,0.929,0.183,0.306
FAVITES_output_logSI_contemp_T200_N100_E1_365,0.125,0.043,0.065
FAVITES_output_logSI_contemp_T200_N100_E1_366,0.600,0.200,0.300
FAVITES_output_logSI_contemp_T200_N100_E1_367,0.667,0.333,0.444
FAVITES_output_logSI_contemp_T200_N100_E1_368,0.500,0.076,0.132
FAVITES_output_logSI_contemp_T200_N100_E1_369,0.750,0.112,0.195
FAVITES_output_logSI_contemp_T200_N100_E1_370,0.778,0.101,0.178
FAVITES_output_logSI_contemp_T200_N100_E1_371,0.895,0.137,0.238
FAVITES_output_logSI_contemp_T200_N100_E1_372,0.895,0.033,0.064
FAVITES_output_logSI_contemp_T200_N100_E1_373,0.938,0.068,0.128
FAVITES_output_logSI_contemp_T200_N100_E1_374,0.744,0.046,0.086
FAVITES_output_logSI_contemp_T200_N100_E1_375,0.611,0.089,0.156
FAVITES_output_logSI_contemp_T200_N100_E1_376,0.500,0.333,0.400
FAVITES_output_logSI_contemp_T200_N100_E1_377,0.667,0.333,0.444
FAVITES_output_logSI_contemp_T200_N100_E1_378,0.818,0.234,0.364
FAVITES_output_logSI_contemp_T200_N100_E1_379,0.758,0.084,0.152
FAVITES_output_logSI_contemp_T200_N100_E1_380,0.919,0.057,0.107
FAVITES_output_logSI_contemp_T200_N100_E1_381,0.667,0.333,0.444
FAVITES_output_logSI_contemp_T200_N100_E1_382,0.471,0.074,0.128
FAVITES_output_logSI_contemp_T200_N100_E1_383,0.500,0.250,0.333
FAVITES_output_logSI_contemp_T200_N100_E1_384,0.500,0.286,0.364
